"","name","taal","m"
"01115","বাঁশরি বাজাতে চাহি, বাঁশরি বাজিল কই","ত্রিতাল","তিনতালা"
"01116","বিদায় করেছ যারে নয়নজলে","ঝাঁপতাল","দাদরা"
"01117","বিনা সাজে সাজি দেখা দিয়েছিলে কবে","ষষ্ঠী/দাদরা","ষষ্ঠী(২/৪)"
"01118","বিরহ মধুর হল আজি মধুরাতে।","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"01123","মনে কী দ্বিধা রেখে গেলে চলে সে দিন ভরা সাঁঝে","২ + ২ ছন্দ","তালমুক্ত"
"01124","মনে যে আশা লয়ে এসেছি হল না, হল না হে।","ত্রিতাল","তিনতালা"
"01125","যখন এসেছিলে অন্ধকারে","তেওরা","তেওড়া"
"01140","সখী, আঁধারে একেলা ঘরে মন মানে না।","কাহারবা (বা মুক্তছন্দ)","যৎ"
"01145","সমুখেতে বহিছে তটিনী, দুটি তারা আকাশে ফুটিয়া।","ত্রিতাল","তিনতালা"
"01148","সে যে পাশে এসে বসেছিল, তবু জাগি নি।","তেওরা","তেওড়া"
"01151","হল না লো, হল না, সই, হায়-","ত্রিতাল","তিনতালা"
"01152","হাসিরে কি লুকাবি লাজে।","খেমটা","কাশ্মীরি"
"01155","হৃদয়বেদনা বহিয়া, প্রভু, এসেছি তব দ্বারে।","তেওরা","তেওড়া"
"01156","কেন জাগে না, জাগে না অবশ পরান-","কাহারবা","যৎ"
"01161","অনেক দিয়েছ নাথ","ত্রিতাল","তিনতালা"
"01162","তব অমল পরশরস, তব শীতল শান্ত পুণ্যকর অন্তরে দাও।","ত্রিতাল","তিনতালা"
"01167","চিরসখা, ছেড়ো না মোরে ছেড়ো না।","ত্রিতাল","তিনতালা"
"01168","স্বামী, তুমি এসো আজ অন্ধকার হৃদয়মাঝ-","চৌতাল","দাদরা"
"01169","হায় কে দিবে আর সান্ত্বনা।","ত্রিতাল","তিনতালা"
"01170","আর কত দূরে আছে সে আনন্দধাম।","তেওরা","তেওড়া"
"01171","কামনা করি একান্তে","চৌতাল","দাদরা"
"01172","নাথ হে, প্রেমপথে সব বাধা ভাঙিয়া দাও।","ত্রিতাল","তিনতালা"
"01173","পূর্ণ-আনন্দ পূর্ণমঙ্গলরূপে হৃদয়ে এসো","চৌতাল","দাদরা"
"01174","সংশয়তিমিরমাঝে না হেরি গতি হে।","তেওরা (বা ত্রিতাল)","তেওড়া"
"01175","নিশিদিন মোর পরানে প্রিয়তম মম","ত্রিতাল","তিনতালা"
"01179","আজি নাহি নাহি নিদ্রা আঁখিপাতে।","ত্রিতাল","তিনতালা"
"01182","কার মিলন চাও বিরহী-","তেওরা","দাদরা"
"01183","তোমা লাগি, নাথ, জাগি জাগি হে-","চৌতাল","দাদরা"
"01185","কোথা হতে বাজে প্রেমবেদনা রে!","ত্রিতাল","তিনতালা"
"01186","নিকটে দেখিব তোমারে করেছি বাসনা মনে।","ত্রিতাল","তিনতালা"
"01187","তোমার দেখা পাব ব'লে এসেছি-যে সখা!","ত্রিতাল","তিনতালা"
"01192","শূন্য প্রাণ কাঁদে সদা-- প্রাণেশ্বর","ত্রিতাল","তিনতালা"
"01193","সুখহীন নিশিদিন পরাধীন হয়ে ভ্রমিছ দীনপ্রাণে।","ত্রিতাল","কাওয়ালি(৪/৪/৪/৪)"
"01194","দূরে কোথায় দূরে দূরে","মুক্তছন্দ","তালমুক্ত"
"01195","পিপাসা হায় নাহি মিটিল, নাহি মিটিল॥","ত্রিতাল","তিনতালা"
