"id","name","taal","abartan","tableWidth"
"00396","চিও আমার হারালো আজ মেঘের মাঝ খানে","কাহারবা","১",26
"00397","উতল ধারায় বাদল ঝরে","দাদরা","২",23
"00398","কাঁপিছে দেহলতা থরথর","একাদশী(৩/৪/৪)","১",15
"00399","ওই বুঝি কালবৈশাখী","কাহারবা","২",21
"00400","আমার দিন ফুরালো","দাদরা","১",21
"00401","পূণচাঁদের মায়ায় আজি ভাবনা","দাদরা","১",23
"00402","দারুণ অগ্নিবাণে রে","কাহারবা","১",21
"00403","এসো এসো হে তৃষ্ণার জল, কলকল্ ছলছল্","কাহারবা","১",21
"00404","বাদল-মেঘে মাদল বাজে","দাদরা","১",17
"00405","ওগো আমার শ্রাবন মেঘের খেয়াতরীর মাঝি","দাদরা","১",17
"00406","তিমির-অবগুণ্ঠনে বদন তব ঢাকি","কাহারবা","১",21
"00407","এই শ্রাবণে বুকের ভীতর আগুন আছে","দাদরা","১",17
"00408","মেঘের কোলে কোলে যায় রে","দাদরা","১",21
"00409","আজ তালের বনের করতালি কিসের তালে","কাহারবা","১",24
"00410","আঁধার কুঁড়ির বাঁধন","কাহারবা","১",25
"00411","কত যে তুমি মনোহর মনই তাহা জানে,","দাদরা","১",17
"00412","হৃদয় আমার, ওই বুঝি তোর","দাদরা","১",17
"00413","প্রখর তপনতাপে আকাশ তৃষায় কাঁপে","দাদরা","১",17
"00414","বৈশাখের এই ভোরের ‎হাওয়া","দাদরা","১",17
"00415","বৈশাখ হে মৌনী তাপস,কোন্ অতলের বাণী","দাদরা","১",17
"00416","শুষ্কতাপের দৈত্যপুরে দ্বার ভাঙবে ব'লে,","দাদরা","১",17
"00418","ওই-যে ঝড়ের মেঘের কোলে","কাহারবা","১",21
"00419","কখন বাদল-ছোঁওয়া লেগে","দাদরা","২",20
"00420","আজ নবীন মেঘের সুর লেগেছে আমার মনে","দাদরা","১",17
"00421","আজ আকাশের মনের কথা ঝরো ঝরো বাজে","দাদরা","১",17
